name,island
Kota Banda Aceh,Sumatera
Kota Sabang,Sumatera
Kota Langsa,Sumatera
Kota Lhokseumawe,Sumatera
Kabupaten Aceh Besar,Sumatera
Kabupaten Aceh Barat,Sumatera
Kabupaten Aceh Barat Daya,Sumatera
Kabupaten Aceh Jaya,Sumatera
Kabupaten Aceh Selatan,Sumatera
Kabupaten Aceh Singkil,Sumatera
Kabupaten Aceh Tamiang,Sumatera
Kabupaten Aceh Tengah,Sumatera
Kabupaten Aceh Tenggara,Sumatera
Kabupaten Aceh Timur,Sumatera
Kabupaten Aceh Utara,Sumatera
Kabupaten Bener Meriah,Sumatera
Kabupaten Bireuen,Sumatera
Kabupaten Gayo Lues,Sumatera
Kabupaten Nagan Raya,Sumatera
Kabupaten Pidie,Sumatera
Kabupaten Pidie Jaya,Sumatera
Kabupaten Simeulue,Sumatera
Kota Medan,Sumatera
Kota Binjai,Sumatera
Kota Tebing Tinggi,Sumatera
Kota Pematang Siantar,Sumatera
Kota Tanjung Balai,Sumatera
Kota Sibolga,Sumatera
Kota Gunungsitoli,Sumatera
Kabupaten Asahan,Sumatera
Kabupaten Batubara,Sumatera
Kabupaten Dairi,Sumatera
Kabupaten Deli Serdang,Sumatera
Kabupaten Humbang Hasundutan,Sumatera
Kabupaten Karo,Sumatera
Kabupaten Labuhanbatu,Sumatera
Kabupaten Labuhanbatu Selatan,Sumatera
Kabupaten Labuhanbatu Utara,Sumatera
Kabupaten Langkat,Sumatera
Kabupaten Mandailing Natal,Sumatera
Kabupaten Nias,Sumatera
Kabupaten Nias Barat,Sumatera
Kabupaten Nias Selatan,Sumatera
Kabupaten Nias Utara,Sumatera
Kabupaten Padang Lawas,Sumatera
Kabupaten Padang Lawas Utara,Sumatera
Kabupaten Pakpak Bharat,Sumatera
Kabupaten Samosir,Sumatera
Kabupaten Serdang Bedagai,Sumatera
Kabupaten Simalungun,Sumatera
Kabupaten Tapanuli Selatan,Sumatera
Kabupaten Tapanuli Tengah,Sumatera
Kabupaten Tapanuli Utara,Sumatera
Kabupaten Toba,Sumatera
Kota Padang,Sumatera
Kota Padang Panjang,Sumatera
Kota Bukittinggi,Sumatera
Kota Payakumbuh,Sumatera
Kota Pariaman,Sumatera
Kota Sawahlunto,Sumatera
Kabupaten Agam,Sumatera
Kabupaten Dharmasraya,Sumatera
Kabupaten Kepulauan Mentawai,Sumatera
Kabupaten Lima Puluh Kota,Sumatera
Kabupaten Padang Pariaman,Sumatera
Kabupaten Pasaman,Sumatera
Kabupaten Pasaman Barat,Sumatera
Kabupaten Pesisir Selatan,Sumatera
Kabupaten Sijunjung,Sumatera
Kabupaten Solok,Sumatera
Kabupaten Solok Selatan,Sumatera
Kabupaten Tanah Datar,Sumatera
Kota Pekanbaru,Sumatera
Kota Dumai,Sumatera
Kabupaten Bengkalis,Sumatera
Kabupaten Indragiri Hilir,Sumatera
